BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
21045 OSBORNE ST,21.8,Not Available,30240.0,Office,10.2,206.5,1965.0
20422 COHASSET ST,83.5,93,48795.0,Multifamily Housing,28.4,2041.4,2007.0
8215 VAN NUYS BLVD,105.1,47,29548.0,Office,51.3,861.0,1958.0
390 S HAUSER AVE,509.1,77,192306.0,Multifamily Housing,46.7,3093.9,1951.0
1627 N FULLER AVE,192.1,73,67664.0,Multifamily Housing,46.7,3927.3,1984.0
209 S WESTMORELAND AVE,801.4,84,428566.0,Multifamily Housing,28.2,10928.7,1958.0
3602 CRENSHAW BLVD,208,Not Available,108883.0,Worship Facility,29.9,1996.2,2001.0
16940 DEVONSHIRE ST,517.5,64,46197.0,Supermarket/Grocery Store,163.9,2730.4,1956.0
11001 SEPULVEDA BLVD,137.5,67,43001.0,Medical Office,46.1,677.0,2009.0
7500 LAUREL CANYON BLVD,201.4,92,111841.0,Multifamily Housing,29.5,6125.8,1963.0
19700 MAGELLAN DR,7.5,Not Available,37100.0,Manufacturing/Industrial Plant,3.1,98.0,1976.0
10850 WILSHIRE BLVD,1078.9,Not Available,155397.0,Office,98.6,4538.4,1972.0
17730 LASSEN ST,329.9,92,136398.0,Multifamily Housing,40.0,6713.8,1987.0
3261 OVERLAND AVE,76.7,100,80441.0,Medical Office,15.3,154.8,1989.0
2140 W OLYMPIC BLVD,204.8,73,96966.0,Office,30.5,413.9,1968.0
1045 S ARDMORE AVE,92.2,56,39876.0,Multifamily Housing,39.0,4968.6,1989.0
1627 CAMDEN AVE,57.3,67,20860.0,Multifamily Housing,44.7,1285.9,1977.0
17039 ROSCOE BLVD,105.3,84,49481.0,Multifamily Housing,32.7,2803.7,1985.0
17531 RINALDI ST,56,60,30000.0,K-12 School,27.0,1726.2,1975.0
814 S WOOSTER ST,46.9,87,23937.0,Multifamily Housing,33.2,776.5,1963.0
14623 SYLVAN ST,32.5,Not Available,25600.0,Multifamily Housing,23.4,1523.0,1978.0
4540 HAZELTINE AVE,56.4,74,23606.0,Multifamily Housing,39.4,1013.6,1951.0
4620 S SLAUSON AVE,60.7,55,20043.0,Multifamily Housing,47.1,962.7,1988.0
945 N SERRANO AVE,63.7,100,42410.0,Multifamily Housing,27.2,2419.8,1990.0
8930 WINNETKA AVE,23.7,100,24757.0,Retail Store,14.9,252.2,1968.0
9700 OWENSMOUTH AVE,67.3,Not Available,30000.0,Manufacturing/Industrial Plant,31.8,458.6,1978.0
12827 RANGOON ST,2.2,99,20880.0,Non-Refrigerated Warehouse,1.6,26.9,1972.0
845 S KINGSLEY DR,66.5,84,35506.0,Multifamily Housing,30.3,1273.2,1990.0
11130 BALBOA BLVD,954.6,Not Available,336441.0,Other - Mall,40.5,3456.0,1970.0
1718 FEDERAL AVE,63,74,20042.0,Multifamily Housing,55.9,881.2,1962.0
13020 BRADLEY AVE,63.2,37,37193.0,Non-Refrigerated Warehouse,26.8,427.9,1979.0
5941 S WESTERN AVE,2.9,Not Available,26300.0,Manufacturing/Industrial Plant,1.6,190.0,1950.0
13820 FOOTHILL BLVD,639.4,71,33000.0,Supermarket/Grocery Store,324.5,2785.2,1990.0
11550 INDIAN HILLS RD,166.5,Not Available,72821.0,Medical Office,35.5,4749.0,1986.0
1823 GRACE AVE,73.4,57,33448.0,Multifamily Housing,36.5,1155.7,1988.0
6464 SANTA MONICA BLVD,46.9,79,21883.0,Office,30.5,512.4,1928.0
3838 VINTON AVE,60.5,100,48333.0,Multifamily Housing,20.3,893.2,1987.0
14959 VANOWEN ST,67.9,77,21700.0,Multifamily Housing,53.9,1152.0,1957.0
711 S PLYMOUTH BLVD,20.8,75,29031.0,Worship Facility,10.2,829.6,1924.0
16721 VENTURA BLVD,167.5,Not Available,125000.0,Automobile Dealership,19.6,576.6,2012.0
340 S NORMANDIE AVE,111.6,78,58130.0,Multifamily Housing,34.4,3594.4,1961.0
2415 W 6TH ST,225,24,45934.0,Office,73.9,1476.7,1968.0
14650 PARTHENIA ST,262.5,Not Available,113316.0,Enclosed Mall,32.9,2723.2,1964.0
107 S SWEETZER AVE,107.3,76,55295.0,Multifamily Housing,31.4,2036.2,2008.0
1635 N FORMOSA AVE,70.4,66,32541.0,Multifamily Housing,36.0,1848.4,1960.0
5340 FRANKLIN AVE,48.7,63,21546.0,Multifamily Housing,36.4,1161.0,1972.0
321 N KENMORE AVE,47.9,100,26046.0,Multifamily Housing,30.9,1322.6,1989.0
1632 N FORMOSA AVE,48.6,95,19722.0,Multifamily Housing,39.4,755.5,1987.0
3206 W 8TH ST,77.9,75,27000.0,Hotel,48.2,304.5,1926.0
5424 MARATHON ST,93.7,43,25605.0,Office,56.5,88.1,1926.0
6041 CADILLAC AVE,2458.7,56,194781.0,Hospital (General Medical & Surgical),199.8,9387.2,2015.0
6805 LOUISE AVE,213.8,76,70937.0,Multifamily Housing,47.7,2277.1,1976.0
6030 METROPOLITAN PLZ,222.9,50,66972.0,Multifamily Housing,59.5,5152.6,1951.0
1220 N LAS PALMAS AVE,76.3,93,36000.0,Multifamily Housing,34.3,1318.8,1988.0
1101 S HILL ST,10.5,94,81993.0,Non-Refrigerated Warehouse,1.8,0.0,1955.0
947 TIVERTON AVE,757.5,Not Available,169956.0,Other - Lodging/Residential,72.5,2390.8,1967.0
9705 LURLINE AVE,40.4,89,25970.0,Non-Refrigerated Warehouse,24.3,268.6,1972.0
25825 S VERMONT AVE,2204.1,1,108702.0,Medical Office,354.4,0.0,2015.0
3345 CASITAS AVE,115.7,Not Available,74505.0,Manufacturing/Industrial Plant,24.2,1568.7,1955.0
12424 WILSHIRE BLVD,486.1,90,170523.0,Office,41.4,1571.7,1986.0
7100 TUJUNGA AVE,28.9,83,112325.0,Non-Refrigerated Warehouse,3.7,364.3,1971.0
920 W 37TH ST,1059.7,8,131657.0,Residence Hall/Dormitory,143.4,2648.3,2007.0
3756 CARDIFF AVE,167.8,60,77424.0,Multifamily Housing,35.5,4000.6,1986.0
450 S KENMORE AVE,57.5,99,31164.0,Multifamily Housing,34.1,2215.1,1929.0
4477 COLBATH AVE,66,62,23675.0,Multifamily Housing,47.0,1208.9,1960.0
3701 MONTCLAIR ST,38.3,99,21351.0,Multifamily Housing,27.4,1.9,1951.0
3848 MENTONE AVE,62.9,79,33008.0,Multifamily Housing,31.7,1089.9,1988.0
10323 WOODBINE ST,33.3,100,32513.0,Multifamily Housing,17.9,762.1,1985.0
7100 HAYVENHURST AVE,183.2,91,57811.0,Office,61.8,742.8,1973.0
19500 S VERMONT AVE,69.2,63,113262.0,Distribution Center,6.9,1467.3,1981.0
21200 CLARENDON ST,142.8,73,50726.0,Office,47.1,663.7,1972.0
16253 VENTURA BLVD,544.6,82,177761.0,Office,45.1,3225.8,1970.0
475 S NEW HAMPSHIRE AVE,75.2,Not Available,32416.0,Multifamily Housing,39.9,2330.9,1928.0
8655 S SEPULVEDA BLVD,83.8,64,28678.0,Retail Store,41.5,125.6,1952.0
625 S SAN PEDRO ST,210.9,74,51230.0,Multifamily Housing,69.0,2557.3,2006.0
12685 VAN NUYS BLVD,104.5,45,97467.0,Non-Refrigerated Warehouse,15.6,437.6,1984.0
2222 S FIGUEROA ST,13.1,100,101270.0,Mixed Use Property,1.8,1535.5,1924.0
1311 N SAN FERNANDO BRAE RD,169.3,80,71961.0,Multifamily Housing,40.2,3876.4,2014.0
6310 SYLMAR AVE,114.1,91,66066.0,Multifamily Housing,26.9,2004.8,1985.0
13215 LOUVRE ST,43.5,Not Available,27675.0,Manufacturing/Industrial Plant,22.3,97.2,1974.0
5500 CANOGA AVE,6442.5,Not Available,224535.0,Manufacturing/Industrial Plant,466.8,676.2,1961.0
743 S LUCERNE BLVD,134.6,Not Available,75000.0,Other,28.4,438.4,1927.0
12825 VENTURA BLVD,751.2,44,116000.0,Hotel,111.4,10405.8,1962.0
2701 N SEPULVEDA BLVD,738.3,Not Available,183000.0,Museum,62.2,12074.3,1996.0
12001 N BLUCHER AVE,62.9,24,9000.0,Office,107.8,552.2,1990.0
740 E 60TH ST,1.2,Not Available,28640.0,Non-Refrigerated Warehouse,0.6,64.2,1924.0
8734 MEMORY PARK AVE,82.4,73,24049.0,Multifamily Housing,57.9,3108.9,1965.0
140 N AVENUE 19,345.3,Not Available,74882.0,Fire Station,74.2,710.7,1990.0
4201 W SUNSET BLVD,103.2,73,57390.0,Multifamily Housing,26.3,2189.5,2007.0
1837 WHITLEY AVE,103.5,59,47356.0,Multifamily Housing,34.6,1286.6,1988.0
9327 DEERING AVE,75.3,53,23079.0,Office,46.3,255.0,2000.0
555 W 92ND ST,81.5,66,29743.0,Multifamily Housing,46.5,1579.0,2016.0
12450 CULVER BLVD,93,Not Available,34545.0,Multifamily Housing,43.2,1900.0,1968.0
4217 INGLEWOOD BLVD,42.4,91,25178.0,Multifamily Housing,27.9,727.9,1989.0
10121 TABOR ST,92.7,Not Available,26040.0,Multifamily Housing,60.6,1175.7,1962.0
4645 STONER AVE,48.4,99,46128.0,Multifamily Housing,15.7,3331.8,2004.0
6833 SEPULVEDA BLVD,49.8,98,32082.0,Multifamily Housing,22.0,2750.6,1967.0
3324 CASTLE HEIGHTS AVE,184.8,87,74418.0,Multifamily Housing,39.5,3183.0,1986.0
5959 W CENTURY BLVD,0,Not Available,226150.0,Office,0.0,2399.8,1966.0
1211 LONG BEACH AVE,18.9,Not Available,27460.0,Manufacturing/Industrial Plant,9.8,328.4,1991.0
20250 ROSCOE BLVD,86.4,65,28639.0,Multifamily Housing,52.2,2140.2,1965.0
523 W 6TH ST,1585.9,79,492790.0,Office,47.9,7837.5,1921.0
7870 VAN NUYS BLVD,411.6,95,129711.0,Retail Store,46.0,2724.3,1998.0
1900 GRACE AVE,63,47,20488.0,Multifamily Housing,52.6,1084.7,1954.0
6856 VAN NUYS BLVD,12,Not Available,4500.0,Retail Store,37.7,48.6,1970.0
3954 URSULA AVE,104,54,38581.0,Multifamily Housing,47.0,2648.1,1962.0
16450 FOOTHILL BLVD,75.8,Not Available,106594.0,Retail Store,10.4,4967.8,2001.0
12154 MONTAGUE ST,289.3,Not Available,122868.0,Manufacturing/Industrial Plant,38.1,727.9,2015.0
16450 VENTURA BLVD,448.2,50,38119.0,Supermarket/Grocery Store,177.4,2369.8,1959.0
1949 N GAFFEY ST,27.6,Not Available,132678.0,Self-Storage Facility,3.1,4659.6,1994.0
12555 W JEFFERSON BLVD,327.3,69,89600.0,Office,54.9,563.3,1985.0
5741 CARLTON WAY,47.9,100,36710.0,Multifamily Housing,23.3,2460.3,1963.0
261 S FIGUEROA ST,240.7,89,99341.0,Office,33.4,1360.3,1979.0
11365 VENTURA BLVD,334.8,54,68423.0,Office,69.5,1541.8,1985.0
6700 FALLBROOK AVE,144.3,78,56500.0,Office,36.2,1482.6,1982.0
16820 CHATSWORTH ST,248.9,48,90874.0,Multifamily Housing,46.5,4824.3,1969.0
301 N RAMPART BLVD,93.8,44,34880.0,Multifamily Housing,44.5,1653.2,1926.0
17200 SATICOY ST,22.9,Not Available,61500.0,Other - Mall,5.3,2461.1,1986.0
15835 VANOWEN ST,3.1,100,20594.0,Multifamily Housing,2.1,2075.5,1969.0
4927 E HUNTINGTON DR NORTH 100-200,17.3,100,28812.0,Office,9.6,34.0,2010.0
7238 CANBY AVE,174.7,71,82475.0,Multifamily Housing,33.2,3453.5,2013.0
14078 ASTORIA ST,104.2,99,63454.0,Multifamily Housing,27.0,2795.5,2007.0
14920 CALVERT ST,4.4,100,20842.0,Non-Refrigerated Warehouse,3.0,143.6,1970.0
7100 WORLD WAY WEST,159.7,Not Available,390129.0,Other,6.6,854.8,1972.0
6225 W CENTURY BLVD,2640,86,454000.0,Hotel,46.3,1231611.8,1958.0
2205 W 6TH ST,148.5,73,48600.0,Multifamily Housing,54.4,1612.3,1915.0
1727 S BENTLEY AVE,128.4,100,60000.0,Multifamily Housing,35.6,1458.7,2000.0
8929 TOBIAS AVE,71.5,39,20435.0,Multifamily Housing,58.5,2070.6,1963.0
7253 VARIEL AVE,49.9,84,23860.0,Multifamily Housing,35.2,1490.9,1960.0
11035 OTSEGO ST,47.5,98,37458.0,Multifamily Housing,18.0,1264.2,1988.0
11999 SAN VICENTE BLVD,155.3,98,62768.0,Office,38.5,193.7,1985.0
119 W JEFFERSON BLVD,11,51,11040.0,Distribution Center,14.1,36.7,1934.0
1412 BUTLER AVE,46.1,100,36941.0,Multifamily Housing,22.1,489.2,1959.0
15314 GAULT ST,84.3,90,39571.0,Multifamily Housing,36.9,1234.3,1978.0
208 S BONNIE BRAE ST,121.6,86,67158.0,Multifamily Housing,29.2,2275.6,2009.0
13129 OXNARD ST,69.5,55,24036.0,Multifamily Housing,50.5,1555.9,1959.0
12455 N SAN FERNANDO ROAD,124.1,99,69095.0,Multifamily Housing,28.2,2586.0,2015.0
6018 VARIEL AVE,29.9,Not Available,30955.0,Self-Storage Facility,14.4,182.0,1974.0
18400 MALDEN ST,136.9,19,36042.0,Multifamily Housing,61.6,4863.8,1961.0
6041 CADILLAC AVE,2438.5,57,194781.0,Hospital (General Medical & Surgical),199.2,9922.3,2015.0
1601 E OLYMPIC BLVD,890.6,2,138263.0,Non-Refrigerated Warehouse,91.7,6478.9,1900.0
13603 MARINA POINTE DR,1300,67,556336.0,Multifamily Housing,38.9,13755.9,1993.0
226 S BERENDO ST,69.1,89,24000.0,Multifamily Housing,49.2,2016.9,1994.0
10523 FLORALITA AVE,8.7,Not Available,24234.0,Multifamily Housing,5.8,1491.9,1986.0
9420 DE SOTO AVE,22.9,Not Available,118368.0,Self-Storage Facility,2.9,66.6,1985.0
1721 TRINITY ST,9.3,95,34604.0,Non-Refrigerated Warehouse,3.8,80.8,1964.0
6510 FOREST LAWN DR,105.4,Not Available,300000.0,Parking,5.0,4459.8,2006.0
4900 W SUNSET BLVD,1166.6,13,152810.0,Medical Office,123.9,1553.0,1960.0
5110 HAROLD WAY,58.2,48,21122.0,Multifamily Housing,48.1,1491.6,1952.0
7707 KESTER AVE,42.9,78,27524.0,Office,22.4,161.1,1956.0
2162 WESTWOOD BLVD,132.3,15,26000.0,Retail Store,78.4,842.3,1989.0
6835 DE SOTO AVE,73.2,49,22743.0,Multifamily Housing,55.7,1104.9,1963.0
7425 SEPULVEDA BLVD,205.9,64,70695.0,Multifamily Housing,48.7,8438.0,1975.0
805 S WOOSTER ST,35.4,100,30000.0,Multifamily Housing,19.8,1106.5,1990.0
5101 S BROADWAY,156.2,83,75828.0,Multifamily Housing,34.2,4298.3,2006.0
11460 PORTER RANCH DR,160.8,Not Available,47591.0,Retail Store,48.0,224.5,1998.0
124 E I ST,38.4,Not Available,11680.0,Fire Station,54.5,421.5,2010.0
668 S ALAMEDA ST,889,Not Available,134000.0,Refrigerated Warehouse,94.2,5101.0,2001.0
11151 AQUA VISTA ST,1.3,100,21824.0,Multifamily Housing,0.8,757.9,1978.0
1929 S BELOIT AVE,151.3,91,74029.0,Multifamily Housing,32.1,1906.0,2011.0
10660 WHITE OAK AVE,37.9,99,38756.0,Office,14.0,306.6,1958.0
111 MARQUEZ PL,180.5,55,66808.0,Multifamily Housing,46.9,2947.3,1956.0
5125 S MAIN ST,70.9,83,40780.0,Multifamily Housing,27.8,1210.3,2000.0
2245 S BEVERLY GLEN BLVD,275.9,86,126801.0,Multifamily Housing,35.9,4367.9,1999.0
1771 E 46TH ST,32.3,80,67100.0,Non-Refrigerated Warehouse,6.8,405.4,1985.0
1256 W 7TH ST,906.3,53,176957.0,Hotel,82.8,9212.6,1980.0
1827 VETERAN AVE,24.4,Not Available,44200.0,Multifamily Housing,9.9,969.7,1966.0
3110 S BARRINGTON AVE,125.1,95,69230.0,Multifamily Housing,31.4,3232.3,1971.0
6435 WILSHIRE BLVD,179.3,47,40880.0,Office,72.3,753.3,1951.0
16253 VENTURA BLVD,527.7,82,177761.0,Office,46.4,3184.2,1970.0
9152 INDEPENDENCE AVE,18.3,Not Available,33800.0,Manufacturing/Industrial Plant,8.1,97.2,1969.0
3255 SAWTELLE BLVD,104.7,69,47544.0,Multifamily Housing,36.4,1786.3,2002.0
3055 W 5TH ST,47.8,92,27894.0,Multifamily Housing,32.9,1360.7,1968.0
855 N CAHUENGA BLVD,190,Not Available,44000.0,Other - Services,61.3,617.8,1947.0
1919 W SLAUSON AVE,55.6,Not Available,16460.0,Fire Station,54.4,1010.3,1989.0
1820 INDUSTRIAL ST,54,34,40422.0,Non-Refrigerated Warehouse,19.0,389.7,1906.0
310 S MARIPOSA AVE,74,83,34038.0,Multifamily Housing,41.1,1336.8,1970.0
1220 N LAS PALMAS AVE,74.1,96,36000.0,Multifamily Housing,33.6,1377.9,1988.0
207 S BROADWAY,90.9,97,60998.0,Office,21.2,1845.9,1905.0
555 S OGDEN DR,225.7,47,66918.0,Multifamily Housing,60.2,4432.2,1951.0
6505 WILSHIRE BLVD,659.5,68,136947.0,Office,74.8,1911.6,1951.0
100 N CLARK DR,67.4,94,29312.0,Multifamily Housing,37.6,1064.5,1986.0
5250 HARMONY AVE,174,76,73300.0,Multifamily Housing,37.8,2339.8,1990.0
15853 STRATHERN ST,598.2,1,112000.0,Wholesale Club/Supercenter,80.6,1577.1,1998.0
7140 BELLAIRE AVE,91.6,89,31386.0,Multifamily Housing,49.0,2134.2,1990.0
809 S GRETNA GREEN WAY,94.8,96,55240.0,Multifamily Housing,29.5,1631.5,1967.0
250 W 5TH ST,87.4,97,35238.0,K-12 School,46.5,893.2,1981.0
555 S BARRINGTON AVE,359.6,54,165389.0,Multifamily Housing,35.6,5168.3,1988.0
6220 W 3RD ST,364.9,100,134530.0,Multifamily Housing,45.1,4212.1,2002.0
21736 ROSCOE BLVD,82.4,85,35434.0,Multifamily Housing,38.8,1881.1,2010.0
11151 AQUA VISTA ST,1.3,100,21824.0,Multifamily Housing,0.9,652.0,1978.0
7855 HAYVENHURST AVE,114.5,48,175660.0,Distribution Center,9.3,647.8,2000.0
1090 S VETERAN AVE,40.2,Not Available,11051.0,Fire Station,59.1,787.1,1943.0
2001 N SOTO ST,720.8,42,120072.0,Office,94.8,4652.4,2011.0
4804 GAVIOTA AVE,98.6,27,25728.0,Multifamily Housing,67.5,837.1,1961.0
12255 BURBANK BLVD,139.4,6,35215.0,Multifamily Housing,60.7,2277.6,1968.0
1800 N HIGHLAND AVE,362.5,Not Available,88863.0,Office,60.7,1408.5,1963.0
1933 S BUNDY DR,440.8,1,34143.0,Office,201.8,123.0,1953.0
8511 BALBOA BLVD,190.9,71,64220.0,Multifamily Housing,49.4,3230.8,1963.0
13432 ESTRELLA AVE,201.6,Not Available,25000.0,Manufacturing/Industrial Plant,114.5,134.6,1980.0
2120 S BENTLEY AVE,46.7,100,25805.0,Multifamily Housing,29.4,910.4,1987.0
600 S MAIN ST,836.8,9,291800.0,Multifamily Housing,46.4,9382.8,1905.0
21838 MARILLA ST,37.1,Not Available,22500.0,Manufacturing/Industrial Plant,25.1,200.5,1970.0
12340 ROCHESTER AVE,108.6,86,49691.0,Multifamily Housing,38.1,1449.0,1969.0
2525 W 8TH ST,43.1,84,22384.0,Office,27.4,91.3,1962.0
9180 SAN FERNANDO RD,8.1,Not Available,20000.0,Manufacturing/Industrial Plant,6.1,24.4,1966.0
511 S CARONDELET ST,51.8,97,27284.0,Multifamily Housing,30.9,614.9,1991.0
611 S LORENA ST,70,75,48326.0,Multifamily Housing,21.9,2737.1,2006.0
21300 VICTORY BLVD,919.9,79,265667.0,Office,49.2,5264.8,1980.0
1253 BARRY AVE,55.5,Not Available,28296.0,Multifamily Housing,31.6,497746.9,1999.0
451 S HARVARD BLVD,304.2,82,122396.0,Multifamily Housing,40.9,9094.1,1972.0
5300 ALLA RD,64.8,51,65736.0,Non-Refrigerated Warehouse,14.3,132.7,1972.0
1460 N MANSFIELD AVE,78.6,81,41792.0,Multifamily Housing,31.6,1107.9,1989.0
6701 ETON AVE,786.9,87,269608.0,Multifamily Housing,47.7,15.3,2013.0
7200 HOLLYWOOD BLVD,133.1,74,53616.0,Multifamily Housing,41.0,3472.5,1953.0
1630 N MAIN ST,154.2,9,28800.0,Non-Refrigerated Warehouse,78.0,513.2,1937.0
2501 S ALAMEDA ST,8.8,100,510105.0,Distribution Center,0.2,473.5,1978.0
12265 VENTURA BLVD,243.9,Not Available,27922.0,Retail Store,92.3,4593.8,1989.0
1929 W PICO BLVD,1.1,Not Available,24400.0,K-12 School,0.8,78.7,2016.0
1325 N SIERRA BONITA AVE,20.4,100,60153.0,Multifamily Housing,4.8,1870.1,1989.0
20701 PLUMMER ST,55.6,Not Available,135465.0,Self-Storage Facility,5.8,115.9,1964.0
7740 LEMONA AVE,21.5,77,21600.0,Non-Refrigerated Warehouse,14.9,142.1,1958.0
1550 AMHERST AVE,37.7,100,36609.0,Multifamily Housing,14.6,1617.3,1989.0
4222 VINELAND AVE,489.8,62,133780.0,Hotel,58.3,9530.0,1972.0
12959 CORAL TREE PL,280.3,47,58000.0,Office,68.6,354.8,1970.0
14332 CALVERT ST,8.9,Not Available,21840.0,Other,5.8,349.2,1959.0
530 S KINGSLEY DR,83.4,90,31575.0,Multifamily Housing,45.2,1606.1,1930.0
18643 COLLINS ST,102.3,65,34456.0,Multifamily Housing,49.8,2045.2,1964.0
19001 HARBORGATE WAY,133.6,42,120285.0,Non-Refrigerated Warehouse,16.8,426.4,2001.0
19710 NORDHOFF PL,20,Not Available,43400.0,Office,8.7,1122.9,1980.0
4558 COLORADO BLVD,47,59,51000.0,Non-Refrigerated Warehouse,13.4,140.6,1958.0
3715 MOTOR AVE,84.6,48,47548.0,Multifamily Housing,28.0,1301.6,2004.0
5364 WILSHIRE BLVD,110.2,Not Available,9970.0,Strip Mall,166.8,252.1,1930.0
1857 N WILTON PL,36.8,90,20320.0,Multifamily Housing,30.6,418.2,1931.0
1141 W 2ND ST,128.5,2,13440.0,Office,135.7,73.6,1940.0
1990 S BUNDY DR,757.1,76,188490.0,Office,63.4,2480.7,1980.0
1031 W 34TH ST,562.5,51,99783.0,Medical Office,88.1,1682.4,2012.0
1550 AMHERST AVE,35.4,100,36609.0,Multifamily Housing,13.7,1521.5,1989.0
4565 ELECTRONICS PL,62.7,Not Available,55271.0,Manufacturing/Industrial Plant,16.2,320.2,1985.0
2449 S BARRINGTON AVE,59.8,51,25452.0,Multifamily Housing,38.9,1257.5,1988.0
5823 PEACH AVE,21.8,Not Available,139870.0,Self-Storage Facility,2.3,53.0,1976.0
6530 DE LONGPRE AVE,39.1,98,26292.0,Multifamily Housing,24.9,947.0,1957.0
6700 FALLBROOK AVE,134.5,80,56500.0,Office,34.7,441.0,1982.0
810 E 9TH ST,17.3,Not Available,28505.0,Manufacturing/Industrial Plant,8.6,98.0,1992.0
10314 MASON AVE,371.9,27,61111.0,Wholesale Club/Supercenter,86.4,2170.2,1967.0
433 MIDVALE AVE,126.3,86,52398.0,Multifamily Housing,39.2,1063.7,2006.0
746 CRENSHAW BLVD,58.6,87,26784.0,Multifamily Housing,35.8,1256.0,1988.0
409 W OLYMPIC BLVD,359,24,126769.0,Multifamily Housing,45.4,4551.9,1929.0
4751 WILSHIRE BLVD,794.6,47,110000.0,Office,104.1,2603.2,1984.0
10300 AVIATION BLVD,48.8,11,21140.0,Non-Refrigerated Warehouse,37.1,261.9,1961.0
861 S CATALINA ST,49.8,94,29670.0,Multifamily Housing,27.9,1357.0,1988.0
12580 SATICOY ST,98.5,Not Available,68146.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",21.4,528.2,1976.0
11220 HINDRY AVE,82.8,Not Available,30000.0,Fitness Center/Health Club/Gym,39.2,463.0,1957.0
1301 S BOYLE AVE,132.4,100,86936.0,Multifamily Housing,27.9,5022.7,2003.0
240 N VIRGIL AVE,72,65,21060.0,Wholesale Club/Supercenter,53.2,587.2,1989.0
12840 BRADLEY AVE,196.4,18,42000.0,Mixed Use Property,66.4,484.7,1960.0
1207 S MANHATTAN PL,24.1,72,28420.0,Worship Facility,13.8,984.4,1930.0
6310 SAN VICENTE BLVD,512.6,67,119478.0,Office,67.3,1211.1,1970.0
2111 E 1ST ST,348.2,Not Available,54278.0,Police Station,93.9,1153042.2,1990.0
13820 VICTORY BLVD,4,Not Available,34766.0,Multifamily Housing,1.6,2131.7,1964.0
9238 WAKEFIELD AVE,105.9,84,38312.0,Multifamily Housing,47.4,3536.0,1986.0
950 W 190TH ST,1093.5,52,186032.0,Office,84.8,5366.5,1980.0
7270 W MANCHESTER AVE,488.9,100,340691.0,Multifamily Housing,23.2,10284.2,2015.0
7007 SEPULVEDA BLVD,88.2,100,48503.0,Multifamily Housing,33.7,3203.3,1970.0
18553 SATICOY ST,166.2,86,52500.0,Multifamily Housing,52.8,4129.2,2008.0
3710 MCCLINTOCK AVE,2182.3,Not Available,102797.0,College/University,367.7,500.4,2004.0
2045 S HOBART BLVD,102.9,87,38994.0,Multifamily Housing,45.5,2215.7,1971.0
8421 CEDROS AVE,79.6,99,51492.0,Multifamily Housing,23.3,5537.8,1986.0
3401 S CENTRAL AVE,37.9,Not Available,11188.0,Fire Station,53.0,488.7,1950.0
7654 LAUREL CANYON BLVD,96.7,98,63821.0,Multifamily Housing,23.6,6135.5,1985.0
5134 CLINTON ST,87.9,65,35095.0,Multifamily Housing,39.2,2096.0,1940.0
11041 VANOWEN ST,298.2,Not Available,246246.0,Manufacturing/Industrial Plant,20.1,1766.2,1958.0
514 PALISADES DR,3.2,Not Available,25000.0,Retail Store,1.8,31123.2,1985.0
881 ALMA REAL DR,331.7,38,89888.0,Office,52.4,1168.0,1981.0
523 W 6TH ST,1478.1,82,492790.0,Office,44.3,7807.9,1921.0
5415 SEPULVEDA BLVD,114,21,28510.0,Multifamily Housing,69.7,1575.4,1958.0
20428 CORISCO ST,113.3,Not Available,27800.0,Non-Refrigerated Warehouse,59.8,383.8,1969.0
1055 W 7TH ST,2097.3,82,615647.0,Office,48.4,10697.9,1988.0
6720 HAYVENHURST AVE,58.7,86,22766.0,Multifamily Housing,43.1,1449.0,1964.0
19350 SATICOY ST,90,72,35036.0,Multifamily Housing,43.1,1578.4,1988.0
11099 S LA CIENEGA BLVD,631.6,58,221194.0,Office,40.6,3975.9,1994.0
330 S FERRY ST,48.5,Not Available,12932.0,Fire Station,56.8,1581.0,1985.0
5036 COLDWATER CANYON AVE,50.6,100,42165.0,Multifamily Housing,17.0,2155.9,1969.0
12820 PIERCE ST,180.5,70,245518.0,Non-Refrigerated Warehouse,10.5,3613.8,1979.0
8210 HASKELL AVE,54.3,Not Available,26000.0,Manufacturing/Industrial Plant,31.5,2985.1,1964.0
5600 WILSHIRE BLVD,735.4,69,310796.0,Multifamily Housing,38.0,9.9,2008.0
110 HURRICANE ST,58.4,Not Available,20883.0,Multifamily Housing,48.9,802.7,1971.0
19900 S VERMONT AVE,126.7,41,122655.0,Distribution Center,14.7,770.5,2001.0
7270 FRANKLIN AVE,255.4,87,95428.0,Multifamily Housing,43.8,3517.3,1988.0
2014 S BENTLEY AVE,6.4,Not Available,24264.0,Multifamily Housing,3.7,620.3,1972.0
2265 S BEVERLY GLEN BLVD,82.3,76,62880.0,Multifamily Housing,18.6,2130.5,1973.0
4101 N FIGUEROA ST,19.4,Not Available,44814.0,Self-Storage Facility,6.3,95.0,2000.0
990 FRANCISCO ST,30.4,78,60420.0,Non-Refrigerated Warehouse,7.1,587.5,1981.0
5439 W 102ND ST,99.3,99,74700.0,Office,18.9,2605.5,1990.0
15860 OLDEN ST,96.3,52,175000.0,Distribution Center,7.8,801.8,1977.0
